12316,家並み,いえなみ,ienami
12321,家元,いえもと,iemoto
12322,以遠,いえん,ien
12323,庵,いおり,iori
12324,医科,いか,ika
12325,威嚇,いかく,ikaku
12326,いかさま,いかさま,ikasama
12331,筏,いかだ,ikada
12332,錨,いかり,ikari
12333,移管,いかん,ikan
12334,毬,いが,iga
12335,遺骸,いがい,igai
12336,医学,いがく,igaku
12341,医学部,いがくぶ,igakubu
12342,鋳型,いがた,igata
12343,依願,いがん,igan
12344,遺棄,いき,iki
12345,生き埋め,いきうめ,ikiume
12346,生き餌,いきえ,ikie
12351,生きがい,いきがい,ikigai
12352,行き掛け,いきがけ,ikigake
12353,息切れ,いきぎれ,ikigire
12354,行き先,いきさき,ikisaki
12355,いきさつ,いきさつ,ikisatsu
12356,生き様,いきざま,ikizama
12361,息継ぎ,いきつぎ,ikitsugi
12362,息抜き,いきぬき,ikinuki
12363,息の根,いきのね,ikinone
12364,生き仏,いきぼとけ,ikibotoke
12365,生き物,いきもの,ikimono
12366,いきれ,いきれ,ikire
12411,威儀,いぎ,igi
12412,幾,いく,iku
12413,育英,いくえい,ikuei
12414,戦,いくさ,ikusa
12415,行く先,いくさき,ikusaki
12416,育成,いくせい,ikusei
12421,遺訓,いくん,ikun
12422,藺草,いぐさ,igusa
12423,池,いけ,ike
12424,畏敬,いけい,ikei
12425,生け垣,いけがき,ikegaki
12426,生け簀,いけす,ikesu
12431,生け贄,いけにえ,ikenie
12432,生け花,いけばな,ikebana
12433,意見,いけん,iken
12434,威厳,いげん,igen
12435,異国,いこく,ikoku
12436,遺骨,いこつ,ikotsu
12441,遺恨,いこん,ikon
12442,以後,いご,igo
12443,居心地,いごこち,igokochi
12444,委細,いさい,isai
12445,諍い,いさかい,isakai
12446,遺作,いさく,isaku
12451,勇み足,いさみあし,isamiashi
12452,漁り火,いさりび,isaribi
12453,胃酸,いさん,isan
12454,居酒屋,いざかや,izakaya
12455,いざこざ,いざこざ,izakoza
12456,十六夜,いざよい,izayoi
12461,医師,いし,ishi
12462,石臼,いしうす,ishiusu
12463,石おの,いしおの,ishiono
12464,石垣,いしがき,ishigaki
12465,意識,いしき,ishiki
